Generating SQLite file /home/daedalus/gpu-tabular-bench/nsys-tabular.sqlite from /home/daedalus/gpu-tabular-bench/nsys-tabular.nsys-rep
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
29.1,4461749120,1,4461749120.0,4461749120.0,4461749120,4461749120,0.0,PushPop,:regression_fit
29.1,4461733090,1,4461733090.0,4461733090.0,4461733090,4461733090,0.0,PushPop,cuml_python:fit RF-Regressor @randomforestregressor.pyx
23.7,3631907639,600,6053179.4,5682697.5,236888,21365826,4635936.6,PushPop,CCCL:thrust::inclusive_scan_by_key
10.3,1570918261,600,2618197.1,829524.5,44323,18600917,3762672.9,PushPop,CCCL:thrust::for_each
4.1,633326995,1,633326995.0,633326995.0,633326995,633326995,0.0,PushPop,:host_to_device
3.4,515296362,1,515296362.0,515296362.0,515296362,515296362,0.0,PushPop,:synthetic_generation
0.2,28375046,600,47291.7,11567.0,8085,7172615,371705.8,PushPop,CCCL:cub::DeviceFor::ForEachN
0.0,5004414,1,5004414.0,5004414.0,5004414,5004414,0.0,PushPop,CCCL:thrust::inclusive_scan
0.0,48391,1,48391.0,48391.0,48391,48391,0.0,PushPop,CCCL:cub::DeviceSegmentedRadixSort

Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.5,3188131358,1200,2656776.1,1536242.5,356453,6344621,1923270.3,"void ML::DT::buildHistogramsKernel<float, float, int, (int)128, ML::DT::RegressionObjectiveFunction<float, float, int, (bool)0>>(T5::BinT *, T3, ML::DT::Dataset<T1, T2, T3>, ML::DT::Quantiles<T1, T3>, const ML::DT::NodeWorkItem *, T3, const T3 *, T5, const ML::DT::WorkloadInfo<T3> *, bool)"
5.1,189058782,600,315098.0,312180.0,129314,569863,68603.8,"void cub::detail::scan_by_key::DeviceScanByKeyKernel<cub::detail::scan_by_key::policy_selector_from_hub<cub::detail::scan_by_key::policy_hub<thrust::transform_iterator<void ML::DT::launchNodeSplitKernel<float, float, int, (int)128>(const ML::DT::Dataset<T1, T2, T3> &, const ML::DT::NodeWorkItem *, ML::DT::Split<T1, T3> *, const ML::DT::WorkloadInfo<T3> *, unsigned long, unsigned long, T3 *, CUstream_st *)::[lambda(unsigned long) (instance 1)], thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default, thrust::__compile_time_value<(int)1>>, thrust::use_default, thrust::use_default>, ML::DT::NodeSplitPartitionState, ML::DT::NodeSplitPartitionState, ML::DT::NodeSplitPartitionScanOp>>, thrust::transform_iterator<void ML::DT::launchNodeSplitKernel<float, float, int, (int)128>(const ML::DT::Dataset<T1, T2, T3> &, const ML::DT::NodeWorkItem *, ML::DT::Split<T1, T3> *, const ML::DT::WorkloadInfo<T3> *, unsigned long, unsigned long, T3 *, CUstream_st *)::[lambda(unsigned long) (instance 1)], thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default, thrust::__compile_time_value<(int)1>>, thrust::use_default, thrust::use_default>, thrust::transform_iterator<void ML::DT::launchNodeSplitKernel<float, float, int, (int)128>(const ML::DT::Dataset<T1, T2, T3> &, const ML::DT::NodeWorkItem *, ML::DT::Split<T1, T3> *, const ML::DT::WorkloadInfo<T3> *, unsigned long, unsigned long, T3 *, CUstream_st *)::[lambda(unsigned long) (instance 2)], thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default, thrust::__compile_time_value<(int)1>>, thrust::use_default, thrust::use_default>, thrust::tabulate_output_iterator<ML::DT::NodeSplitPartitionWriter<float, float, int, (int)128>, thrust::use_default, long>, cub::ReduceByKeyScanTileState<ML::DT::NodeSplitPartitionState, int, (bool)0>, cuda::std::__4::equal_to<int>, ML::DT::NodeSplitPartitionScanOp, cub::NullType, unsigned int, ML::DT::NodeSplitPartitionState, int>(T2, T11 *, T3, T4, T5, int, T6, T7, T8, T9)"
3.9,143933532,600,239889.2,231027.0,90305,355204,63226.5,"void ML::DT::countLocalLeftKernel<float, float, int, (int)128>(ML::DT::Dataset<T1, T2, T3>, const ML::DT::NodeWorkItem *, ML::DT::Split<T1, T3> *, const ML::DT::WorkloadInfo<T3> *)"
2.1,79342284,1200,66118.6,37728.5,5536,342693,77069.7,"void ML::DT::findBestSplitsKernel<float, float, int, (int)128, ML::DT::RegressionObjectiveFunction<float, float, int, (bool)0>>(T5::BinT *, T3, ML::DT::Dataset<T1, T2, T3>, ML::DT::Quantiles<T1, T3>, T3, const T3 *, int *, volatile ML::DT::Split<T1, T3> *, T5)"
1.8,66579913,600,110966.5,93393.0,14528,327684,75942.1,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, long, cub::DeviceFor::__op_wrapper_t<long, void ML::DT::sample_features<int>(T1 *, const ML::DT::NodeWorkItem *, unsigned long, T1, unsigned long, T1, T1, T1, CUstream_st *)::[lambda(unsigned long) (instance 1)], thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default, thrust::__compile_time_value<(int)1>>>>(T2, T3)"
0.9,33621395,40,840534.9,762057.5,699656,1181166,141056.3,"void ML::DT::leafKernel<ML::DT::Dataset<float, float, int>, SparseTreeNode<float, float, int>, ML::DT::RegressionObjectiveFunction<float, float, int, (bool)0>, float>(T3, T1, const T2 *, const ML::DT::InstanceRange *, T4 *)"
0.5,19929723,600,33216.2,33632.5,17344,59041,6389.5,"void ML::DT::nodeSplitCopyBackKernel<float, float, int, (int)128>(ML::DT::Dataset<T1, T2, T3>, const ML::DT::NodeWorkItem *, const ML::DT::Split<T1, T3> *, const ML::DT::WorkloadInfo<T3> *, const T3 *)"
0.1,3377933,600,5629.9,3552.0,1600,30817,4978.7,"void cub::detail::scan_by_key::DeviceScanByKeyInitKernel<cub::ReduceByKeyScanTileState<ML::DT::NodeSplitPartitionState, int, (bool)0>, thrust::transform_iterator<void ML::DT::launchNodeSplitKernel<float, float, int, (int)128>(const ML::DT::Dataset<T1, T2, T3> &, const ML::DT::NodeWorkItem *, ML::DT::Split<T1, T3> *, const ML::DT::WorkloadInfo<T3> *, unsigned long, unsigned long, T3 *, CUstream_st *)::[lambda(unsigned long) (instance 1)], thrust::counting_iterator<unsigned long, thrust::use_default, thrust::use_default, thrust::use_default, thrust::__compile_time_value<(int)1>>, thrust::use_default, thrust::use_default>, unsigned int>(T1, T2, cuda::std::__4::iterator_traits<T2, void>::value_type *, T3, int)"
0.1,3039848,600,5066.4,3536.0,1248,27552,4060.7,"void raft::linalg::detail::map_kernel<(int)1, (bool)1, ML::DT::Split<float, int>, int, void raft::linalg::writeOnlyUnaryOp<ML::DT::Split<float, int>, void ML::DT::initSplit<float, int, (int)128>(ML::DT::Split<T1, T2> *, T2, CUstream_st *)::[lambda(ML::DT::Split<float, int> *, int) (instance 1)], int, (int)128>(T1 *, T3, T2, CUstream_st *)::[lambda(int) (instance 1)], >(T3 *, T4, T5, const T6 *...)"
0.1,2695753,600,4492.9,2368.0,1216,28416,4056.7,"void ML::DT::resetLocalLeftCountsKernel<float, int>(ML::DT::Split<T1, T2> *, unsigned long)"
